Thread,time
1,2.075008529 s
2,1.040355751 s
3,0.81815777 s
4,0.7362968350000001 s
5,0.645194424 s
6,0.592600125 s
7,0.474336825 s
8,0.545112991 s
9,0.419189225 s
10,0.53238297 s
